56 -84.42 -53.53 422.48	660.01	237.53
57 -72.36 -53.27 420.31	671.04	250.72
58 -51.59 -52.29 411.69	NaN	NaN
59 -36.26 -52.66 410.16	675.82	265.66
60 -24.76 -51.96 418.46	664.91	246.45
61 1.47 -45.32 426.83	659.63	232.80
62 11.82 -47.11 424.97	660.01	235.04
63 26.66 -43.89 415.38	654.37	238.99
64 38.94 -42.92 412.00	655.87	243.87
65 51.52 -44.97 411.08	650.99	239.91
66 61.02 -44.58 409.85	662.66	252.81
67 77.22 -45.43 416.30	658.88	242.58
68 89.72 -44.22 420.01	662.66	242.66
69 102.00 -44.63 418.77	660.01	241.24
70 111.50 -44.66 414.15	658.50	244.35
71 126.31 -44.84 409.24	658.50	249.26
72 139.14 -46.13 407.41	660.39	252.98
73 152.80 -45.84 NaN	656.25	NaN
74 164.81 -42.84 421.86	661.53	239.67
75 179.10 -44.07 418.77	655.50	236.73
76 -169.89 -45.84 421.55	659.63	238.08
77 -153.85 -43.87 426.21	664.91	238.70
78 -142.27 -43.97 423.72	662.66	238.94
79 -132.53 -45.29 421.55	661.15	239.60
80 -121.17 -45.22 424.03	664.54	240.51
81 -105.41 -44.50 430.57	661.91	231.33
82 -93.62 -45.32 425.59	658.50	232.91
83 -80.33 -46.17 424.34	663.04	238.70
84 -67.38 -47.23 413.53	NaN	NaN
85 -51.30 -44.98 408.63	672.76	264.13
86 -42.68 -44.27 407.71	667.49	259.78
87 -28.95 -46.90 417.23	663.79	246.57
88 -18.93 -47.43 421.24	660.01	238.77
89 -1.81 -35.11 427.45	662.66	235.21
90 12.11 -34.35 408.02	659.63	251.61
91 25.05 -36.23 413.22	653.99	240.77
92 34.34 -35.98 415.38	654.74	239.37
93 43.31 -36.30 415.38	657.37	241.99
94 54.87 -35.94 412.92	660.77	247.85
95 67.63 -34.60 408.02	657.37	249.35
96 77.71 -34.48 417.53	661.53	243.99
97 90.16 -34.89 419.70	660.01	240.31
98 100.65 -35.60 417.53	658.50	240.97
99 110.14 -35.91 415.69	663.79	248.11
100 119.01 -34.68 412.30	665.65	253.35
101 133.22 -37.26 NaN	NaN	NaN
102 143.47 -37.28 NaN	NaN	NaN
103 157.07 -37.43 NaN	NaN	NaN
104 168.51 -37.39 416.30	656.25	239.94
105 177.96 -37.53 418.46	664.54	246.08
106 -169.23 -33.82 423.41	665.28	241.87
107 -157.15 -35.41 424.66	662.66	238.01
108 -148.45 -36.47 427.77	660.39	232.62
109 -139.13 -36.56 425.28	659.25	233.98
110 -127.69 -36.73 418.46	658.88	240.42
111 -117.54 -36.76 432.14	663.79	231.66
112 -105.35 -38.00 420.01	666.75	246.75
113 -94.74 -39.97 430.89	NaN	NaN
114 -82.49 -37.95 420.93	NaN	NaN
115 -76.68 -37.66 420.31	NaN	NaN
116 -55.37 -38.66 NaN	NaN	NaN
117 -45.99 -38.41 408.63	674.51	265.88
118 -36.50 -35.67 413.53	664.17	250.64
119 -27.78 -33.74 415.38	661.15	245.77
120 -14.53 -33.33 420.01	662.66	242.66
121 -1.44 -29.27 415.69	663.42	247.73
122 9.60 -28.39 411.08	663.42	252.34
123 22.18 -27.03 405.88	666.75	260.87
124 31.03 -28.05 417.53	651.37	233.83
125 41.85 -26.06 424.03	656.25	232.21
126 50.90 -25.06 419.39	658.88	239.49
127 60.94 -24.82 415.07	658.88	243.81
128 70.28 -26.36 415.38	660.39	245.01
129 80.90 -27.09 417.84	657.37	239.53
130 91.65 -27.81 416.30	656.62	240.32
131 100.01 -28.54 416.30	659.63	243.33
132 110.75 -28.54 421.24	666.75	245.51
133 119.91 -26.73 419.08	664.91	245.83
134 131.35 -25.47 419.08	659.25	240.18
135 142.66 -24.73 421.24	NaN	NaN
136 151.25 -24.09 419.08	657.37	238.29
137 157.26 -24.76 417.84	659.63	241.79
138 176.02 -23.87 412.61	666.02	253.41
139 -177.16 -24.25 424.03	665.28	241.25
140 -169.25 -25.79 426.52	659.63	233.11
141 -157.77 -27.51 425.59	661.15	235.56
142 -146.99 -26.02 428.70	667.12	238.42
143 -137.35 -23.04 420.93	663.42	242.49
144 -129.55 -24.44 423.10	662.29	239.18
145 -120.31 -25.57 424.66	664.54	239.89
146 -109.17 -27.13 419.70	666.38	246.69
147 -98.53 -24.41 415.07	NaN	NaN
148 -85.13 -20.44 412.00	663.79	251.80
149 -79.07 -20.90 413.53	663.42	249.89
